"ID","Title","Assigned To","Case ID","Comment","Defects","Elapsed","Estimate","Forecast","In Progress","Plan","Plan ID","Priority","References","Run","Run Configuration","Run ID","Section","Section Depth","Section Description","Status","Tested By","Tested On","Type","Version"
"T3845","Ensure that the elapsed game time is displayed correctly.","Cinipa Alexandru","C2329","","","300s","120s","240s","","","","Low","","Demo Realease 1.2 Run 3 (fixes)","","R7","UI","2","","Passed","Cinipa Alexandru","4/21/2024 12:09 AM","Other","Demo 1.2"
"T3848","Verify that the game's time functionality operates flawlessly throughout the entire gameplay.","Cinipa Alexandru","C2330","","","300s","300s","300s","","","","Medium","","Demo Realease 1.2 Run 3 (fixes)","","R7","Functionality","2","","Passed","Cinipa Alexandru","4/21/2024 12:09 AM","Functional","Demo 1.2"
"T3851","Verify that upon completing the treasure hunt, the displayed tracked time is accurate.","Cinipa Alexandru","C2331","","","300s","300s","300s","","","","Medium","","Demo Realease 1.2 Run 3 (fixes)","","R7","Functionality","2","","Passed","Cinipa Alexandru","4/21/2024 12:09 AM","Functional","Demo 1.2"
"T3854","Ensure that the keys are displayed accurately throughout the entire gameplay","Cinipa Alexandru","C2332","","","300s","120s","240s","","","","Low","","Demo Realease 1.2 Run 3 (fixes)","","R7","UI","2","","Passed","Cinipa Alexandru","4/21/2024 12:09 AM","Usability","Demo 1.2"
"T3857","Verify that the correct number of keys is displayed after their usage","Cinipa Alexandru","C2333","","","300s","300s","240s","","","","Low","","Demo Realease 1.2 Run 3 (fixes)","","R7","UI","2","","Passed","Cinipa Alexandru","4/21/2024 12:09 AM","Usability","Demo 1.2"
"T3860","Ensure that the inventory slot updates correctly after picking up a key","Cinipa Alexandru","C2334","","","300s","300s","240s","","","","Medium","","Demo Realease 1.2 Run 3 (fixes)","","R7","Functionality","2","","Passed","Cinipa Alexandru","4/21/2024 12:09 AM","Functional","Demo 1.2"
"T3863","Verify that using the key on a door results in the correct deduction from the total count","Cinipa Alexandru","C2335","","","300s","300s","240s","","","","Medium","","Demo Realease 1.2 Run 3 (fixes)","","R7","Functionality","2","","Passed","Cinipa Alexandru","4/21/2024 12:09 AM","Functional","Demo 1.2"
"T3866","Verify that discoverable items throughout the game display the correct images","Cinipa Alexandru","C2336","","","300s","900s","400s","","","","Low","","Demo Realease 1.2 Run 3 (fixes)","","R7","UI","2","","Passed","Cinipa Alexandru","4/21/2024 12:09 AM","Other","Demo 1.2"
"T3875","Verify that the correct message is displayed upon collecting the discoverable items","Cinipa Alexandru","C2339","","","300s","900s","400s","","","","Low","","Demo Realease 1.2 Run 3 (fixes)","","R7","UI","2","","Passed","Cinipa Alexandru","4/21/2024 12:09 AM","Other","Demo 1.2"
"T3869","Ensure that the effects specified for each found item are correct","Cinipa Alexandru","C2337","Same issue 25JD - 0002","25JD - 0002","300s","600s","400s","","","","Medium","","Demo Realease 1.2 Run 3 (fixes)","","R7","Functionality","2","","Failed","Cinipa Alexandru","4/21/2024 12:13 AM","Functional","Demo 1.2"
"T3872","Verify that the background game sound plays consistently throughout the gameplay","Cinipa Alexandru","C2338","","","120s","120s","120s","","","","Low","","Demo Realease 1.2 Run 3 (fixes)","","R7","Audio","1","","Passed","Cinipa Alexandru","4/21/2024 12:10 AM","Other","Demo 1.2"
"T3878","Ensure that the player's collision detection functions correctly for every element in the game world","Cinipa Alexandru","C2340","","","1200s","1200s","600s","","","","High","","Demo Realease 1.2 Run 3 (fixes)","","R7","Collision","1","","Passed","Cinipa Alexandru","4/21/2024 12:10 AM","Functional","Demo 1.2"
"T3881","Verify that all in-game elements, such as open world items and environmental features, accurately display their specified animations","Cinipa Alexandru","C2341","","","1200s","1200s","1200s","","","","High","","Demo Realease 1.2 Run 3 (fixes)","","R7","Animation","1","","Passed","Cinipa Alexandru","4/21/2024 12:09 AM","Other","Demo 1.2"
"T1606","Verify that after completing the treasure hunt, the appropriate messages and statistics are displayed for the player","Cinipa Alexandru","C76","","","1200s","1200s","645s","","","","Medium","","Demo Realease 1.2 Run 3 (fixes)","","R7","End-Game","0","","Passed","Cinipa Alexandru","4/21/2024 12:09 AM","Performance","Demo 1.2"
"T3884","Ensure that the game maintains a consistent performance of 60 frames per second (fps)","Cinipa Alexandru","C2342","","","1200s","1200s","1200s","","","","High","","Demo Realease 1.2 Run 3 (fixes)","","R7","Performance","0","","Passed","Cinipa Alexandru","4/21/2024 12:09 AM","Functional","Demo 1.2"



